"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","6325","checkout using error user","chromium","2026-07-06","passed","2026-07-06","","dashboard/checkout.spec.ts","",""
"","2636","login with glitched credentials","chromium","2026-07-06","passed","2026-07-06","","auth/login.spec.ts","",""
"","4600","login error user","chromium","2026-07-06","failed","2026-07-06","","auth/login.spec.ts","",""
"","3617","Checkout validation error when last name is missing","chromium","2026-07-06","passed","2026-07-06","Checkout Flow","dashboard/checkout-flow.spec.ts","",""
"","1622","Negative login with invalid username","chromium","2026-07-06","passed","2026-07-06","Sauce Demo Login","saucedemo-login.spec.ts","",""
"","1780","Successful login with standard_user","chromium","2026-07-06","passed","2026-07-06","Sauce Demo Login","saucedemo-login.spec.ts","",""
"","2921","can login with valid credentials","chromium","2026-07-06","passed","2026-07-06","","auth/login.spec.ts","",""
"","1604","Negative login with invalid password","chromium","2026-07-06","passed","2026-07-06","Sauce Demo Login","saucedemo-login.spec.ts","",""
"","6423","checkout using problem user","chromium","2026-07-06","passed","2026-07-06","","dashboard/checkout.spec.ts","",""
"","95023","Successful checkout with standard_user","chromium","2026-07-06","broken","2026-07-06","Checkout Flow","dashboard/checkout-flow.spec.ts","",""
"","95034","login with glitched credentials with 3g network","chromium","2026-07-04","broken","2026-07-04","","auth\login.spec.ts","",""
"","95012","add all products to cart","chromium","2026-07-06","broken","2026-07-06","","dashboard/checkout.spec.ts","",""
"","2575","login with locked credentials","chromium","2026-07-06","passed","2026-07-06","","auth/login.spec.ts","",""
"","1686","Negative login with locked out user","chromium","2026-07-06","passed","2026-07-06","Sauce Demo Login","saucedemo-login.spec.ts","",""
